_IM_PROGRAM_GRAPH_NODE,_IM_PRIMITIVE_ARC,_IM_SOURCE_PRIMITIVE_ARC,_IM_TARGET_PRIMITIVE_ARC,_IM_DISTANCE_BEGIN_MIN,_IM_DISTANCE_BEGIN_MAX,_IM_DISTANCE_BEGIN_AVG,_IM_DISTANCE_END_MIN,_IM_DISTANCE_END_MAX,_IM_DISTANCE_END_AVG,_IM_MINIMAL,_IM_EQUIVALENT
5,1,0,1,3,3,3.0,2,2,2.0,0,0
5,1,0,1,3,3,3.0,2,2,2.0,0,0
5,1,0,1,3,3,3.0,2,2,2.0,0,0
5,1,0,1,3,3,3.0,2,2,2.0,0,0
1,0,0,0,0,0,0.0,2,9,5.5,1,0
1,0,0,0,0,0,0.0,2,9,5.5,1,0
1,0,0,0,0,0,0.0,2,9,5.5,1,0
1,0,0,0,0,0,0.0,2,9,5.5,0,0
1,0,0,0,0,0,0.0,2,9,5.5,1,0
1,0,0,0,0,0,0.0,2,9,5.5,1,0
1,0,0,0,0,0,0.0,2,9,5.5,0,1
1,0,0,0,0,0,0.0,2,9,5.5,1,0
1,0,0,0,0,0,0.0,2,9,5.5,1,0
1,0,0,0,0,0,0.0,2,9,5.5,0,0
1,0,0,0,0,0,0.0,2,9,5.5,1,0
1,0,0,0,0,0,0.0,2,9,5.5,0,0
1,0,0,0,0,0,0.0,2,9,5.5,1,0
1,0,0,0,0,0,0.0,2,9,5.5,0,0
1,0,0,0,0,0,0.0,2,9,5.5,1,0
1,0,0,0,0,0,0.0,2,9,5.5,1,0
1,0,0,0,0,0,0.0,2,9,5.5,1,0
2,1,1,0,1,1,1.0,1,8,4.5,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
1,0,0,0,0,0,0.0,2,9,5.5,0,0
1,0,0,0,0,0,0.0,2,9,5.5,0,0
1,0,0,0,0,0,0.0,2,9,5.5,0,0
1,0,0,0,0,0,0.0,2,9,5.5,0,0
1,0,0,0,0,0,0.0,2,9,5.5,0,0
1,0,0,0,0,0,0.0,2,9,5.5,1,0
1,0,0,0,0,0,0.0,2,9,5.5,0,0
1,0,0,0,0,0,0.0,2,9,5.5,0,0
1,0,0,0,0,0,0.0,2,9,5.5,0,0
1,0,0,0,0,0,0.0,2,9,5.5,0,0
3,0,0,0,4,4,4.0,2,5,3.5,0,0
1,0,0,0,0,0,0.0,2,9,5.5,1,0
1,0,0,0,0,0,0.0,2,9,5.5,1,0
2,1,1,0,1,1,1.0,1,8,4.5,0,0
2,1,1,0,1,1,1.0,1,8,4.5,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
8,0,0,0,4,4,4.0,1,1,1.0,0,0
2,1,1,0,1,1,1.0,1,8,4.5,0,0
2,1,1,0,1,1,1.0,1,8,4.5,0,0
2,1,1,0,1,1,1.0,1,8,4.5,0,0
2,1,1,0,1,1,1.0,1,8,4.5,0,0
2,1,1,0,1,1,1.0,1,8,4.5,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,1,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
2,1,1,0,1,1,1.0,1,8,4.5,0,0
2,1,1,0,1,1,1.0,1,8,4.5,0,0
2,1,1,0,1,1,1.0,1,8,4.5,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,1,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
2,1,1,0,1,1,1.0,1,8,4.5,0,0
2,1,1,0,1,1,1.0,1,8,4.5,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,1,0
2,1,1,0,1,1,1.0,1,8,4.5,0,0
2,1,1,0,1,1,1.0,1,8,4.5,0,0
2,1,1,0,1,1,1.0,1,8,4.5,0,0
2,1,1,0,1,1,1.0,1,8,4.5,0,0
2,1,1,0,1,1,1.0,1,8,4.5,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
2,1,1,0,1,1,1.0,1,8,4.5,0,0
2,1,1,0,1,1,1.0,1,8,4.5,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
8,0,0,0,4,4,4.0,1,1,1.0,1,0
8,0,0,0,4,4,4.0,1,1,1.0,0,0
5,1,0,1,3,3,3.0,2,2,2.0,0,0
5,1,0,1,3,3,3.0,2,2,2.0,0,1
5,1,0,1,3,3,3.0,2,2,2.0,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
1,0,0,0,0,0,0.0,2,9,5.5,0,0
1,0,0,0,0,0,0.0,2,9,5.5,0,0
8,0,0,0,4,4,4.0,1,1,1.0,0,1
1,0,0,0,0,0,0.0,2,9,5.5,0,0
5,1,0,1,3,3,3.0,2,2,2.0,0,0
5,1,0,1,3,3,3.0,2,2,2.0,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
1,0,0,0,0,0,0.0,2,9,5.5,0,0
8,0,0,0,4,4,4.0,1,1,1.0,0,0
1,0,0,0,0,0,0.0,2,9,5.5,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
5,1,0,1,3,3,3.0,2,2,2.0,0,0
5,1,0,1,3,3,3.0,2,2,2.0,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
1,0,0,0,0,0,0.0,2,9,5.5,0,0
8,0,0,0,4,4,4.0,1,1,1.0,0,0
1,0,0,0,0,0,0.0,2,9,5.5,0,0
1,0,0,0,0,0,0.0,2,9,5.5,0,0
1,0,0,0,0,0,0.0,2,9,5.5,0,1
1,0,0,0,0,0,0.0,2,9,5.5,0,1
2,1,1,0,1,1,1.0,1,8,4.5,0,0
2,1,1,0,1,1,1.0,1,8,4.5,0,0
2,1,1,0,1,1,1.0,1,8,4.5,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,1
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,1,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,1,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,1,0
5,1,0,1,3,3,3.0,2,2,2.0,0,0
5,1,0,1,3,3,3.0,2,2,2.0,0,1
5,1,0,1,3,3,3.0,2,2,2.0,0,0
1,0,0,0,0,0,0.0,2,9,5.5,0,0
1,0,0,0,0,0,0.0,2,9,5.5,0,0
1,0,0,0,0,0,0.0,2,9,5.5,0,0
1,0,0,0,0,0,0.0,2,9,5.5,0,0
2,1,1,0,1,1,1.0,1,8,4.5,0,0
2,1,1,0,1,1,1.0,1,8,4.5,1,0
3,0,0,0,4,4,4.0,2,5,3.5,0,0
3,0,0,0,4,4,4.0,2,5,3.5,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
5,1,0,1,3,3,3.0,2,2,2.0,0,0
5,1,0,1,3,3,3.0,2,2,2.0,0,0
1,0,0,0,0,0,0.0,2,9,5.5,0,0
1,0,0,0,0,0,0.0,2,9,5.5,1,0
2,1,1,0,1,1,1.0,1,8,4.5,0,0
2,1,1,0,1,1,1.0,1,8,4.5,0,1
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
5,1,0,1,3,3,3.0,2,2,2.0,0,0
5,1,0,1,3,3,3.0,2,2,2.0,0,0
1,0,0,0,0,0,0.0,2,9,5.5,1,0
2,1,1,0,1,1,1.0,1,8,4.5,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
4,1,1,0,2,2,2.0,3,7,4.666666666666667,0,0
