_IM_PROGRAM_GRAPH_NODE,_IM_PRIMITIVE_ARC,_IM_SOURCE_PRIMITIVE_ARC,_IM_TARGET_PRIMITIVE_ARC,_IM_DISTANCE_BEGIN_MIN,_IM_DISTANCE_BEGIN_MAX,_IM_DISTANCE_BEGIN_AVG,_IM_DISTANCE_END_MIN,_IM_DISTANCE_END_MAX,_IM_DISTANCE_END_AVG,_IM_EQUIVALENT,_IM_MINIMAL
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
2,1,1,0,1,4,2.5,2,6,4.0,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
5,1,0,1,3,6,4.5,3,4,3.5,0,0
5,1,0,1,3,6,4.5,3,4,3.5,0,0
2,1,1,0,1,4,2.5,2,6,4.0,0,0
2,1,1,0,1,4,2.5,2,6,4.0,1,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
2,1,1,0,1,4,2.5,2,6,4.0,0,0
2,1,1,0,1,4,2.5,2,6,4.0,0,1
2,1,1,0,1,4,2.5,2,6,4.0,0,0
2,1,1,0,1,4,2.5,2,6,4.0,0,0
2,1,1,0,1,4,2.5,2,6,4.0,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,1,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,1
2,1,1,0,1,4,2.5,2,6,4.0,0,0
2,1,1,0,1,4,2.5,2,6,4.0,0,0
2,1,1,0,1,4,2.5,2,6,4.0,0,1
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,1,0
2,1,1,0,1,4,2.5,2,6,4.0,0,0
2,1,1,0,1,4,2.5,2,6,4.0,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
2,1,1,0,1,4,2.5,2,6,4.0,0,0
2,1,1,0,1,4,2.5,2,6,4.0,1,0
2,1,1,0,1,4,2.5,2,6,4.0,0,0
2,1,1,0,1,4,2.5,2,6,4.0,0,0
2,1,1,0,1,4,2.5,2,6,4.0,0,1
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,1
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
2,1,1,0,1,4,2.5,2,6,4.0,0,0
2,1,1,0,1,4,2.5,2,6,4.0,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
6,1,0,1,2,5,3.5,1,1,1.0,0,1
6,1,0,1,2,5,3.5,1,1,1.0,0,0
5,1,0,1,3,6,4.5,3,4,3.5,0,0
4,1,0,1,3,6,4.5,1,1,1.0,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
5,1,0,1,3,6,4.5,3,4,3.5,0,0
5,1,0,1,3,6,4.5,3,4,3.5,0,1
5,1,0,1,3,6,4.5,3,4,3.5,0,0
5,1,0,1,3,6,4.5,3,4,3.5,0,1
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
1,0,0,0,0,0,0.0,3,7,5.0,0,0
1,0,0,0,0,0,0.0,3,7,5.0,0,0
6,1,0,1,2,5,3.5,1,1,1.0,0,0
1,0,0,0,0,0,0.0,3,7,5.0,0,0
1,0,0,0,0,0,0.0,3,7,5.0,0,0
4,1,0,1,3,6,4.5,1,1,1.0,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
5,1,0,1,3,6,4.5,3,4,3.5,0,0
5,1,0,1,3,6,4.5,3,4,3.5,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
1,0,0,0,0,0,0.0,3,7,5.0,0,0
6,1,0,1,2,5,3.5,1,1,1.0,0,1
1,0,0,0,0,0,0.0,3,7,5.0,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
4,1,0,1,3,6,4.5,1,1,1.0,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
5,1,0,1,3,6,4.5,3,4,3.5,0,0
5,1,0,1,3,6,4.5,3,4,3.5,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
1,0,0,0,0,0,0.0,3,7,5.0,0,0
6,1,0,1,2,5,3.5,1,1,1.0,0,0
1,0,0,0,0,0,0.0,3,7,5.0,0,0
6,1,0,1,2,5,3.5,1,1,1.0,1,0
2,1,1,0,1,4,2.5,2,6,4.0,0,0
2,1,1,0,1,4,2.5,2,6,4.0,1,0
2,1,1,0,1,4,2.5,2,6,4.0,0,0
2,1,1,0,1,4,2.5,2,6,4.0,0,0
2,1,1,0,1,4,2.5,2,6,4.0,1,0
2,1,1,0,1,4,2.5,2,6,4.0,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,1,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,1,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,1,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,1,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,1,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,1,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,1,0
2,1,1,0,1,4,2.5,2,6,4.0,0,0
2,1,1,0,1,4,2.5,2,6,4.0,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
5,1,0,1,3,6,4.5,3,4,3.5,0,0
5,1,0,1,3,6,4.5,3,4,3.5,0,0
2,1,1,0,1,4,2.5,2,6,4.0,1,0
2,1,1,0,1,4,2.5,2,6,4.0,0,0
2,1,1,0,1,4,2.5,2,6,4.0,0,0
2,1,1,0,1,4,2.5,2,6,4.0,1,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
2,1,1,0,1,4,2.5,2,6,4.0,0,0
2,1,1,0,1,4,2.5,2,6,4.0,1,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
3,1,1,0,2,5,3.5,2,5,3.6666666666666665,0,0
