_IM_PROGRAM_GRAPH_NODE,_IM_PRIMITIVE_ARC,_IM_SOURCE_PRIMITIVE_ARC,_IM_TARGET_PRIMITIVE_ARC,_IM_DISTANCE_BEGIN_MIN,_IM_DISTANCE_BEGIN_MAX,_IM_DISTANCE_BEGIN_AVG,_IM_DISTANCE_END_MIN,_IM_DISTANCE_END_MAX,_IM_DISTANCE_END_AVG,_IM_EQUIVALENT,_IM_MINIMAL
1,1,1,0,0,0,0.0,2,2,2.0,0,0
1,1,1,0,0,0,0.0,2,2,2.0,0,1
1,1,1,0,0,0,0.0,2,2,2.0,0,1
1,1,1,0,0,0,0.0,2,2,2.0,0,1
2,1,0,1,1,1,1.0,1,1,1.0,0,0
2,1,0,1,1,1,1.0,1,1,1.0,0,0
3,1,0,1,1,1,1.0,1,1,1.0,0,0
3,1,0,1,1,1,1.0,1,1,1.0,0,0
1,1,1,0,0,0,0.0,2,2,2.0,0,0
1,1,1,0,0,0,0.0,2,2,2.0,0,0
2,1,0,1,1,1,1.0,1,1,1.0,0,0
2,1,0,1,1,1,1.0,1,1,1.0,0,0
3,1,0,1,1,1,1.0,1,1,1.0,0,0
3,1,0,1,1,1,1.0,1,1,1.0,0,0
1,1,1,0,0,0,0.0,2,2,2.0,0,0
1,1,1,0,0,0,0.0,2,2,2.0,0,0
1,1,1,0,0,0,0.0,2,2,2.0,0,0
1,1,1,0,0,0,0.0,2,2,2.0,0,0
2,1,0,1,1,1,1.0,1,1,1.0,0,0
2,1,0,1,1,1,1.0,1,1,1.0,0,0
3,1,0,1,1,1,1.0,1,1,1.0,0,0
3,1,0,1,1,1,1.0,1,1,1.0,0,0
1,1,1,0,0,0,0.0,2,2,2.0,0,0
1,1,1,0,0,0,0.0,2,2,2.0,0,0
1,1,1,0,0,0,0.0,2,2,2.0,0,0
1,1,1,0,0,0,0.0,2,2,2.0,0,1
1,1,1,0,0,0,0.0,2,2,2.0,0,0
1,1,1,0,0,0,0.0,2,2,2.0,0,0
1,1,1,0,0,0,0.0,2,2,2.0,0,1
1,1,1,0,0,0,0.0,2,2,2.0,0,0
1,1,1,0,0,0,0.0,2,2,2.0,0,1
1,1,1,0,0,0,0.0,2,2,2.0,0,1
1,1,1,0,0,0,0.0,2,2,2.0,0,1
1,1,1,0,0,0,0.0,2,2,2.0,0,0
1,1,1,0,0,0,0.0,2,2,2.0,0,0
1,1,1,0,0,0,0.0,2,2,2.0,0,1
1,1,1,0,0,0,0.0,2,2,2.0,0,1
1,1,1,0,0,0,0.0,2,2,2.0,0,1
1,1,1,0,0,0,0.0,2,2,2.0,0,0
1,1,1,0,0,0,0.0,2,2,2.0,0,0
1,1,1,0,0,0,0.0,2,2,2.0,0,0
1,1,1,0,0,0,0.0,2,2,2.0,0,0
1,1,1,0,0,0,0.0,2,2,2.0,0,1
1,1,1,0,0,0,0.0,2,2,2.0,0,0
1,1,1,0,0,0,0.0,2,2,2.0,0,0
1,1,1,0,0,0,0.0,2,2,2.0,0,0
1,1,1,0,0,0,0.0,2,2,2.0,0,1
1,1,1,0,0,0,0.0,2,2,2.0,0,1
