Informação;Número;Total;Percentual
Mutantes minimais;8;151;5.30
Mutantes equivalentes;9;151;5.96
Mutantes nos arcos primitivos;66;151;43.71
Mutantes na origem dos arcos primitivos;57;151;37.75
Mutantes no destino dos arcos primitivos;9;151;5.96

Minimais em arcos primitivos;7;8;87.50
Minimais na origem dos arcos primitivos;7;8;87.50
Minimais no destino dos arcos primitivos;0;8;0.00
Equivalentes em arcos primitivos;1;9;11.11
Equivalentes na origem dos arcos primitivos;1;9;11.11
Equivalentes no destino dos arcos primitivos;0;9;0.00
