,_IM_PROGRAM,_IM_OPERATOR,_IM_SOURCE_PRIMITIVE_ARC,_IM_TARGET_PRIMITIVE_ARC,_IM_DISTANCE_BEGIN_MIN,_IM_DISTANCE_BEGIN_MAX,_IM_DISTANCE_BEGIN_AVG,_IM_DISTANCE_END_MIN,_IM_DISTANCE_END_MAX,_IM_DISTANCE_END_AVG,_IM_COMPLEXITY,_IM_TYPE_STATEMENT,_IM_EQUIVALENT,_IM_MINIMAL,PREDICTED,RESULT
0,Heap,u-Cccr,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
1,Heap,u-Cccr,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
2,Heap,u-Cccr,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,1,0,0,1
3,Heap,u-Cccr,0,1,0.25,0.1,0.13333333333333333,0.0,0.0,0.0,1.0,Return,0,0,0,1
4,Heap,u-Cccr,0,1,0.25,0.1,0.13333333333333333,0.0,0.0,0.0,0.06521739130434782,Return,0,0,0,1
5,Heap,u-CCDL,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
6,Heap,u-CCDL,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
7,Heap,u-CCDL,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
8,Heap,u-Ccsr,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
9,Heap,u-Ccsr,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
10,Heap,u-Ccsr,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
11,Heap,u-Ccsr,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
12,Heap,u-CRCR,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
13,Heap,u-CRCR,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
14,Heap,u-CRCR,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
15,Heap,u-CRCR,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
16,Heap,u-CRCR,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
17,Heap,u-CRCR,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
18,Heap,u-CRCR,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
19,Heap,u-CRCR,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
20,Heap,u-CRCR,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
21,Heap,u-CRCR,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
22,Heap,u-OAAN,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
23,Heap,u-OAAN,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
24,Heap,u-OAAN,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
25,Heap,u-OAAN,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
26,Heap,u-OAAN,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
27,Heap,u-OAAN,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
28,Heap,u-OAAN,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
29,Heap,u-OAAN,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
30,Heap,u-OABN,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
31,Heap,u-OABN,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
32,Heap,u-OABN,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
33,Heap,u-OABN,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
34,Heap,u-OABN,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
35,Heap,u-OABN,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
36,Heap,u-OALN,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
37,Heap,u-OALN,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
38,Heap,u-OALN,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
39,Heap,u-OALN,1,0,0.0,0.0,0.0,0.25,0.1,0.15789473684210528,0.43478260869565216,If,0,0,0,1
