,_IM_PROGRAM,_IM_OPERATOR,_IM_SOURCE_PRIMITIVE_ARC,_IM_TARGET_PRIMITIVE_ARC,_IM_DISTANCE_BEGIN_MIN,_IM_DISTANCE_BEGIN_MAX,_IM_DISTANCE_BEGIN_AVG,_IM_DISTANCE_END_MIN,_IM_DISTANCE_END_MAX,_IM_DISTANCE_END_AVG,_IM_COMPLEXITY,_IM_TYPE_STATEMENT,_IM_MINIMAL,_IM_EQUIVALENT,PREDICTED,RESULT
0,findVal,u-Ccsr,0,0,1,1,1.0,1,6,4.0,0.6818181818181818,For,0,0,0,1
1,findVal,u-Ccsr,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,0,1
2,findVal,u-Ccsr,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,0,1
3,findVal,u-Ccsr,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,0,1
4,findVal,u-Ccsr,0,1,3,3,3.0,4,4,4.0,0.3939393939393939,Assignment,0,0,0,1
5,findVal,u-Ccsr,0,0,2,2,2.0,0,0,0.0,0.18181818181818185,Return,0,0,0,1
6,findVal,u-CRCR,0,0,1,1,1.0,1,6,4.0,0.6818181818181818,For,0,0,1,0
7,findVal,u-CRCR,0,0,1,1,1.0,1,6,4.0,0.6818181818181818,For,0,0,1,0
8,findVal,u-CRCR,0,0,1,1,1.0,1,6,4.0,0.6818181818181818,For,0,0,1,0
9,findVal,u-CRCR,0,0,1,1,1.0,1,6,4.0,0.6818181818181818,For,0,0,1,0
10,findVal,u-CRCR,0,0,1,1,1.0,1,6,4.0,0.6818181818181818,For,0,0,1,0
11,findVal,u-CRCR,0,0,1,1,1.0,1,6,4.0,0.6818181818181818,For,0,0,1,0
12,findVal,u-CRCR,0,0,1,1,1.0,1,6,4.0,0.6818181818181818,For,0,0,1,0
13,findVal,u-CRCR,0,0,1,1,1.0,1,6,4.0,0.6818181818181818,For,0,0,1,0
14,findVal,u-CRCR,0,0,1,1,1.0,1,6,4.0,0.6818181818181818,For,0,0,1,0
15,findVal,u-CRCR,0,0,1,1,1.0,1,6,4.0,0.6818181818181818,For,0,0,1,0
16,findVal,u-CRCR,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,0,1
17,findVal,u-CRCR,1,0,2,2,2.0,4,5,4.5,1.0,If,0,0,0,1
