_IM_PROGRAM,_IM_OPERATOR,_IM_SOURCE_PRIMITIVE_ARC,_IM_TARGET_PRIMITIVE_ARC,_IM_DISTANCE_BEGIN_MIN,_IM_DISTANCE_BEGIN_MAX,_IM_DISTANCE_BEGIN_AVG,_IM_DISTANCE_END_MIN,_IM_DISTANCE_END_MAX,_IM_DISTANCE_END_AVG,_IM_COMPLEXITY,_IM_TYPE_STATEMENT,_IM_EQUIVALENT,_IM_MINIMAL
testPad,u-CRCR,1,0,0.2857142857142857,0.625,0.6097560975609756,0.6,0.9230769230769231,0.8985879332477537,0.49404761904761907,If,0,0
testPad,u-CRCR,1,0,0.2857142857142857,0.625,0.6097560975609756,0.6,0.9230769230769231,0.8985879332477537,0.49404761904761907,If,0,0
testPad,u-CRCR,1,0,0.2857142857142857,0.625,0.6097560975609756,0.6,0.9230769230769231,0.8985879332477537,0.49404761904761907,If,0,0
testPad,u-CRCR,1,0,0.2857142857142857,0.625,0.6097560975609756,0.6,0.9230769230769231,0.8985879332477537,0.49404761904761907,If,0,0
testPad,u-CRCR,1,0,0.2857142857142857,0.625,0.6097560975609756,0.6,0.9230769230769231,0.8985879332477537,0.49404761904761907,If,0,0
testPad,u-CRCR,0,0,0.42857142857142855,0.6875,0.7073170731707317,1.0,0.8846153846153846,0.9078947368421054,0.42857142857142855,Assignment,0,0
testPad,u-CRCR,0,0,0.42857142857142855,0.6875,0.7073170731707317,1.0,0.8846153846153846,0.9078947368421054,0.42857142857142855,Assignment,0,0
testPad,u-CRCR,0,0,0.42857142857142855,0.6875,0.7073170731707317,1.0,0.8846153846153846,0.9078947368421054,0.42857142857142855,Assignment,0,0
testPad,u-CRCR,0,0,0.42857142857142855,0.6875,0.7073170731707317,1.0,0.8846153846153846,0.9078947368421054,0.42857142857142855,Assignment,0,0
testPad,u-CRCR,0,0,0.42857142857142855,0.6875,0.7073170731707317,1.0,0.8846153846153846,0.9078947368421054,0.42857142857142855,Assignment,0,0
testPad,u-CRCR,1,0,0.5714285714285714,0.75,0.8048780487804879,0.8,0.8461538461538461,0.8464912280701755,0.2976190476190476,For,0,0
testPad,u-CRCR,1,0,0.5714285714285714,0.75,0.8048780487804879,0.8,0.8461538461538461,0.8464912280701755,0.2976190476190476,For,0,0
testPad,u-CRCR,1,0,0.5714285714285714,0.75,0.8048780487804879,0.8,0.8461538461538461,0.8464912280701755,0.2976190476190476,For,0,0
testPad,u-CRCR,1,0,0.5714285714285714,0.75,0.8048780487804879,0.8,0.8461538461538461,0.8464912280701755,0.2976190476190476,For,0,0
testPad,u-CRCR,1,0,0.5714285714285714,0.75,0.8048780487804879,0.8,0.8461538461538461,0.8464912280701755,0.2976190476190476,For,0,0
testPad,u-CRCR,1,0,0.5714285714285714,0.75,0.8048780487804879,0.8,0.8461538461538461,0.8464912280701755,0.2976190476190476,For,0,0
testPad,u-CRCR,1,0,0.5714285714285714,0.75,0.8048780487804879,0.8,0.8461538461538461,0.8464912280701755,0.2976190476190476,For,0,0
testPad,u-CRCR,1,0,0.5714285714285714,0.75,0.8048780487804879,0.8,0.8461538461538461,0.8464912280701755,0.2976190476190476,For,0,0
testPad,u-CRCR,1,0,0.5714285714285714,0.75,0.8048780487804879,0.8,0.8461538461538461,0.8464912280701755,0.2976190476190476,For,0,0
testPad,u-CRCR,1,0,0.5714285714285714,0.75,0.8048780487804879,0.8,0.8461538461538461,0.8464912280701755,0.2976190476190476,For,0,0
testPad,u-CRCR,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-CRCR,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-CRCR,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-CRCR,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-CRCR,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-CRCR,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-CRCR,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-CRCR,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-CRCR,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-CRCR,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-CRCR,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-CRCR,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-CRCR,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-CRCR,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-CRCR,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-CRCR,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-CRCR,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-CRCR,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-CRCR,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-CRCR,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-CRCR,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-CRCR,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-CRCR,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-CRCR,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-CRCR,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-CRCR,0,0,0.2857142857142857,0.625,0.6097560975609756,0.0,0.0,0.0,0.07738095238095238,Return,0,0
testPad,u-CRCR,0,0,0.2857142857142857,0.625,0.6097560975609756,0.0,0.0,0.0,0.07738095238095238,Return,0,0
testPad,u-CRCR,0,0,0.2857142857142857,0.625,0.6097560975609756,0.0,0.0,0.0,0.07738095238095238,Return,0,0
testPad,u-CRCR,0,0,0.2857142857142857,0.625,0.6097560975609756,0.0,0.0,0.0,0.07738095238095238,Return,0,0
testPad,u-CRCR,0,0,0.2857142857142857,0.625,0.6097560975609756,0.0,0.0,0.0,0.07738095238095238,Return,0,0
testPad,u-OAAN,0,1,0.14285714285714285,0.5625,0.5121951219512195,0.2,0.9615384615384616,0.9385964912280703,1.0,While,1,0
testPad,u-OAAN,0,1,0.14285714285714285,0.5625,0.5121951219512195,0.2,0.9615384615384616,0.9385964912280703,1.0,While,0,1
testPad,u-OAAN,0,1,0.14285714285714285,0.5625,0.5121951219512195,0.2,0.9615384615384616,0.9385964912280703,1.0,While,0,0
testPad,u-OAAN,0,1,0.14285714285714285,0.5625,0.5121951219512195,0.2,0.9615384615384616,0.9385964912280703,1.0,While,0,0
testPad,u-OAAN,0,1,0.14285714285714285,0.5625,0.5121951219512195,0.2,0.9615384615384616,0.9385964912280703,1.0,While,0,0
testPad,u-OAAN,0,1,0.14285714285714285,0.5625,0.5121951219512195,0.2,0.9615384615384616,0.9385964912280703,1.0,While,0,0
testPad,u-OAAN,0,1,0.14285714285714285,0.5625,0.5121951219512195,0.2,0.9615384615384616,0.9385964912280703,1.0,While,0,0
testPad,u-OAAN,0,1,0.14285714285714285,0.5625,0.5121951219512195,0.2,0.9615384615384616,0.9385964912280703,1.0,While,0,0
testPad,u-OAAN,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-OAAN,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-OAAN,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-OAAN,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-OABN,0,1,0.14285714285714285,0.5625,0.5121951219512195,0.2,0.9615384615384616,0.9385964912280703,1.0,While,1,0
testPad,u-OABN,0,1,0.14285714285714285,0.5625,0.5121951219512195,0.2,0.9615384615384616,0.9385964912280703,1.0,While,0,0
testPad,u-OABN,0,1,0.14285714285714285,0.5625,0.5121951219512195,0.2,0.9615384615384616,0.9385964912280703,1.0,While,1,0
testPad,u-OABN,0,1,0.14285714285714285,0.5625,0.5121951219512195,0.2,0.9615384615384616,0.9385964912280703,1.0,While,0,0
testPad,u-OABN,0,1,0.14285714285714285,0.5625,0.5121951219512195,0.2,0.9615384615384616,0.9385964912280703,1.0,While,0,0
testPad,u-OABN,0,1,0.14285714285714285,0.5625,0.5121951219512195,0.2,0.9615384615384616,0.9385964912280703,1.0,While,0,0
testPad,u-OABN,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-OABN,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-OABN,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-OALN,0,1,0.14285714285714285,0.5625,0.5121951219512195,0.2,0.9615384615384616,0.9385964912280703,1.0,While,0,0
testPad,u-OALN,0,1,0.14285714285714285,0.5625,0.5121951219512195,0.2,0.9615384615384616,0.9385964912280703,1.0,While,0,0
testPad,u-OALN,0,1,0.14285714285714285,0.5625,0.5121951219512195,0.2,0.9615384615384616,0.9385964912280703,1.0,While,0,0
testPad,u-OALN,0,1,0.14285714285714285,0.5625,0.5121951219512195,0.2,0.9615384615384616,0.9385964912280703,1.0,While,0,0
testPad,u-OALN,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-OALN,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-OARN,0,1,0.14285714285714285,0.5625,0.5121951219512195,0.2,0.9615384615384616,0.9385964912280703,1.0,While,0,0
testPad,u-OARN,0,1,0.14285714285714285,0.5625,0.5121951219512195,0.2,0.9615384615384616,0.9385964912280703,1.0,While,0,0
testPad,u-OARN,0,1,0.14285714285714285,0.5625,0.5121951219512195,0.2,0.9615384615384616,0.9385964912280703,1.0,While,0,0
testPad,u-OARN,0,1,0.14285714285714285,0.5625,0.5121951219512195,0.2,0.9615384615384616,0.9385964912280703,1.0,While,0,0
testPad,u-OARN,0,1,0.14285714285714285,0.5625,0.5121951219512195,0.2,0.9615384615384616,0.9385964912280703,1.0,While,0,0
testPad,u-OARN,0,1,0.14285714285714285,0.5625,0.5121951219512195,0.2,0.9615384615384616,0.9385964912280703,1.0,While,0,0
testPad,u-OARN,0,1,0.14285714285714285,0.5625,0.5121951219512195,0.2,0.9615384615384616,0.9385964912280703,1.0,While,0,0
testPad,u-OARN,0,1,0.14285714285714285,0.5625,0.5121951219512195,0.2,0.9615384615384616,0.9385964912280703,1.0,While,0,0
testPad,u-OARN,0,1,0.14285714285714285,0.5625,0.5121951219512195,0.2,0.9615384615384616,0.9385964912280703,1.0,While,0,0
testPad,u-OARN,0,1,0.14285714285714285,0.5625,0.5121951219512195,0.2,0.9615384615384616,0.9385964912280703,1.0,While,0,0
testPad,u-OARN,0,1,0.14285714285714285,0.5625,0.5121951219512195,0.2,0.9615384615384616,0.9385964912280703,1.0,While,0,0
testPad,u-OARN,0,1,0.14285714285714285,0.5625,0.5121951219512195,0.2,0.9615384615384616,0.9385964912280703,1.0,While,0,0
testPad,u-OARN,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-OARN,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-OARN,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-OARN,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-OARN,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-OARN,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-OASN,0,1,0.14285714285714285,0.5625,0.5121951219512195,0.2,0.9615384615384616,0.9385964912280703,1.0,While,0,0
testPad,u-OASN,0,1,0.14285714285714285,0.5625,0.5121951219512195,0.2,0.9615384615384616,0.9385964912280703,1.0,While,0,0
testPad,u-OASN,0,1,0.14285714285714285,0.5625,0.5121951219512195,0.2,0.9615384615384616,0.9385964912280703,1.0,While,0,0
testPad,u-OASN,0,1,0.14285714285714285,0.5625,0.5121951219512195,0.2,0.9615384615384616,0.9385964912280703,1.0,While,1,0
testPad,u-OASN,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-OASN,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-OCNG,0,1,0.14285714285714285,0.5625,0.5121951219512195,0.2,0.9615384615384616,0.9385964912280703,1.0,While,0,0
testPad,u-OCNG,1,0,0.2857142857142857,0.625,0.6097560975609756,0.6,0.9230769230769231,0.8985879332477537,0.49404761904761907,If,0,0
testPad,u-OCNG,1,0,0.5714285714285714,0.75,0.8048780487804879,0.8,0.8461538461538461,0.8464912280701755,0.2976190476190476,For,0,0
testPad,u-OCNG,1,0,0.7142857142857143,0.8125,0.9024390243902439,1.0,0.8076923076923077,0.8187134502923977,0.8095238095238095,If,0,0
testPad,u-OEAA,0,0,0.42857142857142855,0.6875,0.7073170731707317,1.0,0.8846153846153846,0.9078947368421054,0.42857142857142855,Assignment,0,0
testPad,u-OEAA,0,0,0.42857142857142855,0.6875,0.7073170731707317,1.0,0.8846153846153846,0.9078947368421054,0.42857142857142855,Assignment,0,0
testPad,u-OEAA,0,0,0.42857142857142855,0.6875,0.7073170731707317,1.0,0.8846153846153846,0.9078947368421054,0.42857142857142855,Assignment,0,0
testPad,u-OEAA,0,0,0.42857142857142855,0.6875,0.7073170731707317,1.0,0.8846153846153846,0.9078947368421054,0.42857142857142855,Assignment,0,0
testPad,u-OEAA,0,0,0.42857142857142855,0.6875,0.7073170731707317,1.0,0.8846153846153846,0.9078947368421054,0.42857142857142855,Assignment,0,0
testPad,u-OEAA,0,0,0.42857142857142855,0.6875,0.7073170731707317,1.0,0.8846153846153846,0.9078947368421054,0.42857142857142855,Assignment,0,1
testPad,u-OEAA,0,0,0.42857142857142855,0.6875,0.7073170731707317,1.0,0.8846153846153846,0.9078947368421054,0.42857142857142855,Assignment,0,1
testPad,u-OEAA,0,0,0.42857142857142855,0.6875,0.7073170731707317,1.0,0.8846153846153846,0.9078947368421054,0.42857142857142855,Assignment,0,1
testPad,u-OEAA,0,0,0.42857142857142855,0.6875,0.7073170731707317,1.0,0.8846153846153846,0.9078947368421054,0.42857142857142855,Assignment,1,0
